
Section: Summary   Original data
Tabulated Data:   pendf.json   endf.json
Points: 799
Energy (eV)	 
Min
1e-05	Max
2e+07	
From
1e-05
To
2e+07
Get data:
Calculation of Cross Section
for a Single Energy:
Energy (eV) = 
1e-05
Cross Section (b) = 
#LIBRARY    ENDF/B-VIII.0
#REACTION   LI-6(N,TOT),SIG
#NUCLEUS    Li-6
#MF         3
#MT         1
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 0.394132    238.479      Lin-Lin
 0.434743    227.1        Lin-Lin
 0.479537    216.268      Lin-Lin
 0.489733    214.141      Lin-Lin
 0.528947    205.962      Lin-Lin
 0.583448    196.148      Lin-Lin
 0.643565    186.798      Lin-Lin
 0.709876    177.892      Lin-Lin
 0.78302     169.404      Lin-Lin
 0.8637      161.318      Lin-Lin
 0.952693    153.627      Lin-Lin
 1.05086     146.313      Lin-Lin
 1.15913     139.351      Lin-Lin
 1.27857     132.714      Lin-Lin
 1.4103      126.405      Lin-Lin
 1.55562     120.39       Lin-Lin
 1.7159      114.647      Lin-Lin
 1.81481     111.596      Lin-Lin
 1.89271     109.193      Lin-Lin
 2.08772     104.002      Lin-Lin
 2.30284     99.0677      Lin-Lin
 2.54012     94.3527      Lin-Lin
 2.55803     94.0466      Lin-Lin
 2.80184     89.8808      Lin-Lin
 2.82161     89.5904      Lin-Lin
 3.11233     85.3185      Lin-Lin
 3.43302     81.251       Lin-Lin
 3.78675     77.4034      Lin-Lin
 4.17692     73.7533      Lin-Lin
 4.20618     73.4796      Lin-Lin
 4.6073      70.2505      Lin-Lin
 4.63957     69.9907      Lin-Lin
 5.08202     66.9235      Lin-Lin
 5.11762     66.6768      Lin-Lin
 5.60566     63.769       Lin-Lin
 5.64492     63.535       Lin-Lin
 6.22656     60.518       Lin-Lin
 6.86813     57.6598      Lin-Lin
 7.5758      54.9359      Lin-Lin
 8.41533     52.1429      Lin-Lin
 9.28242     49.6858      Lin-Lin
 9.34744     49.5264      Lin-Lin
 10.2389     47.3404      Lin-Lin
 10.3833     47.0348      Lin-Lin
 11.2938     45.1087      Lin-Lin
 11.3729     44.9661      Lin-Lin
 12.6333     42.6945      Lin-Lin
 12.7218     42.535       Lin-Lin
 13.935      40.6896      Lin-Lin
 15.2631     38.9099      Lin-Lin
 16.8358     37.0666      Lin-Lin
 18.5705     35.3315      Lin-Lin
 18.8325     35.1042      Lin-Lin
 20.4839     33.6717      Lin-Lin
 21.2146     33.1279      Lin-Lin
 22.7539     31.9822      Lin-Lin
 23.2366     31.6779      Lin-Lin
 25.4525     30.2809      Lin-Lin
 25.6308     30.1685      Lin-Lin
 27.8784     28.9774      Lin-Lin
 28.075      28.8732      Lin-Lin
 30.3231     27.8046      Lin-Lin
 33.4475     26.4977      Lin-Lin
 36.6372     25.355       Lin-Lin
 36.8938     25.2737      Lin-Lin
 39.5708     24.426       Lin-Lin
 43.3445     23.364       Lin-Lin
 47.1454     22.4373      Lin-Lin
 47.4757     22.3567      Lin-Lin
 51.2797     21.5428      Lin-Lin
 51.6389     21.466       Lin-Lin
 55.7765     20.6821      Lin-Lin
 56.1672     20.608       Lin-Lin
 60.2426     19.9301      Lin-Lin
 60.6676     19.8594      Lin-Lin
