
Section: Summary   Original data
Tabulated Data:   pendf.json   endf.json
Points: 411
Energy (eV)	 
Min
1e-05	Max
2e+07	
From
1e-05
To
2e+07
Get data:
Calculation of Cross Section
for a Single Energy:
Energy (eV) = 
1e-05
Cross Section (b) = 
#LIBRARY    ENDF/B-VIII.0
#REACTION   LI-6(N,T)HE-4,SIG
#NUCLEUS    Li-6
#MF         3
#MT         105
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 25.6308     29.4501      Lin-Lin
 28.075      28.1549      Lin-Lin
 30.3231     27.0863      Lin-Lin
 33.4475     25.7795      Lin-Lin
 36.6372     24.6369      Lin-Lin
 39.5708     23.7079      Lin-Lin
 43.3445     22.646       Lin-Lin
 47.4757     21.6389      Lin-Lin
 51.6389     20.7481      Lin-Lin
 56.1672     19.8903      Lin-Lin
 60.6676     19.1418      Lin-Lin
 66.4498     18.285       Lin-Lin
 72.2769     17.5339      Lin-Lin
 78.615      16.8114      Lin-Lin
 86.1121     16.0596      Lin-Lin
 93.6634     15.3973      Lin-Lin
 102.59      14.7125      Lin-Lin
 111.587     14.1041      Lin-Lin
 120.528     13.5725      Lin-Lin
 132.015     12.965       Lin-Lin
 143.592     12.4322      Lin-Lin
 156.184     11.9192      Lin-Lin
 171.078     11.3859      Lin-Lin
 187.384     10.8795      Lin-Lin
 203.816     10.4306      Lin-Lin
 223.252     9.96503      Lin-Lin
 241.129     9.58949      Lin-Lin
 264.124     9.15981      Lin-Lin
 287.285     8.78318      Lin-Lin
 312.478     8.42057      Lin-Lin
 342.26      8.04384      Lin-Lin
 374.9       7.68568      Lin-Lin
 407.775     7.36905      Lin-Lin
 449.791     7.01502      Lin-Lin
 489.234     6.72575      Lin-Lin
 532.136     6.44797      Lin-Lin
 578.799     6.18331      Lin-Lin
 638.437     5.88425      Lin-Lin
 684.762     5.68411      Lin-Lin
 744.81      5.44737      Lin-Lin
 833.143     5.14976      Lin-Lin
 899.855     4.95563      Lin-Lin
 978.765     4.75106      Lin-Lin
 1064.59     4.55476      Lin-Lin
 1149.9      4.38245      Lin-Lin
 1277.26     4.15675      Lin-Lin
 1369.94     4.01545      Lin-Lin
 1490.07     3.84831      Lin-Lin
 1666.79     3.63815      Lin-Lin
 1800.35     3.50099      Lin-Lin
 1958.22     3.3566       Lin-Lin
 2129.94     3.21823      Lin-Lin
 2300.49     3.09697      Lin-Lin
 2555.43     2.93792      Lin-Lin
 2740.85     2.83839      Lin-Lin
 2981.2      2.72065      Lin-Lin
 3334.76     2.57255      Lin-Lin
 3601.79     2.47595      Lin-Lin
 3890.38     2.38227      Lin-Lin
 4291.23     2.26822      Lin-Lin
 4700.23     2.16771      Lin-Lin
 5076.84     2.08583      Lin-Lin
 5522.04     2.00112      Lin-Lin
 6176.95     1.89337      Lin-Lin
 6755.01     1.81158      Lin-Lin
 7451.03     1.7258       Lin-Lin
 8302.98     1.63587      Lin-Lin
 8968.26     1.57506      Lin-Lin
 9754.7      1.51117      Lin-Lin
 10610.1     1.45066      Lin-Lin
 11540.5     1.39361      Lin-Lin
 12838.1     1.32381      Lin-Lin
 13769.6     1.28074      Lin-Lin
 14954.5     1.23059      Lin-Lin
 16606       1.17011      Lin-Lin
 18062.2     1.12418      Lin-Lin
 19784.6     1.07567      Lin-Lin
 22445.9     1.01593      Lin-Lin
 25095.1     0.965839     Lin-Lin
 27104.5     0.932899     Lin-Lin
 29897.3     0.891975     Lin-Lin
 32922.5     0.857128     Lin-Lin
 36416       0.82169      Lin-Lin
 40282.2     0.787917     Lin-Lin
 45672.2     0.752228     Lin-Lin
 50352.7     0.725584     Lin-Lin
 60411.4     0.685636     Lin-Lin
 70476.8     0.661155     Lin-Lin
 80564.3     0.64876      Lin-Lin
 90000       0.646484     Lin-Lin
 100000      0.654106     Lin-Lin
 110000      0.672274     Lin-Lin
 120000      0.702339     Lin-Lin
 130000      0.746603     Lin-Lin
 140000      0.808548     Lin-Lin
 150000      0.89319      Lin-Lin
 160000      1.00754      Lin-Lin
 170000      1.16108      Lin-Lin
 179799      1.36155      Lin-Lin
 184908      1.48901      Lin-Lin
 190000      1.63458      Lin-Lin
 195000      1.79618      Lin-Lin
 200000      1.97598      Lin-Lin
 205000      2.17204      Lin-Lin
 216517      2.65283      Lin-Lin
 220000      2.79437      Lin-Lin
 225000      2.97436      Lin-Lin
 230000      3.11475      Lin-Lin
 233000      3.17261      Lin-Lin
 235000      3.19979      Lin-Lin
 236000      3.21076      Lin-Lin
 239000      3.22457      Lin-Lin
 242372      3.21157      Lin-Lin
 245000      3.18181      Lin-Lin
 248000      3.13009      Lin-Lin
 250000      3.08466      Lin-Lin
 255000      2.94224      Lin-Lin
 260000      2.7708       Lin-Lin
 270000      2.39551      Lin-Lin
 280000      2.03844      Lin-Lin
 290000      1.73313      Lin-Lin
 300000      1.48461      Lin-Lin
 310000      1.28616      Lin-Lin
 320000      1.12825      Lin-Lin
 330000      1.00201      Lin-Lin
 340000      0.900232     Lin-Lin
 349661      0.820108     Lin-Lin
 360000      0.749081     Lin-Lin
 370000      0.692293     Lin-Lin
 380000      0.644568     Lin-Lin
 400000      0.569394     Lin-Lin
 420000      0.513423     Lin-Lin
 440000      0.470516     Lin-Lin
 460000      0.436793     Lin-Lin
 479745      0.410059     Lin-Lin
 500000      0.387591     Lin-Lin
 520000      0.369218     Lin-Lin
 540000      0.35376      Lin-Lin
 563950      0.338365     Lin-Lin
 584091      0.327277     Lin-Lin
 604232      0.317655     Lin-Lin
 628747      0.307586     Lin-Lin
 658186      0.297252     Lin-Lin
 689594      0.28813      Lin-Lin
 714883      0.282046     Lin-Lin
 755291      0.273317     Lin-Lin
 805643      0.264757     Lin-Lin
 861992      0.257274     Lin-Lin
 912697      0.251873     Lin-Lin
 970199      0.246974     Lin-Lin
 1.02126E+06 0.243564     Lin-Lin
 1.11552E+06 0.238578     Lin-Lin
 1.21693E+06 0.234976     Lin-Lin
 1.32764E+06 0.232511     Lin-Lin
 1.43978E+06 0.231162     Lin-Lin
 1.6E+06     0.230376     Lin-Lin
 1.84E+06    0.231397     Lin-Lin
 1.93354E+06 0.230416     Lin-Lin
 2.01411E+06 0.228208     Lin-Lin
 2.11481E+06 0.224175     Lin-Lin
 2.26587E+06 0.216484     Lin-Lin
 2.53481E+06 0.200182     Lin-Lin
 2.55E+06    0.199225     Lin-Lin
