tof,bin_width,counts,dcounts
381.6736,0.10239999999998872,643.2696900000001,25.362761876420322
381.776,0.10239999999998872,636.2563399999999,25.224122184924493
381.8784,0.10239999999998872,612.20534,24.742783594413947
381.98080000000004,0.10240000000004557,658.16529,25.654732311992657
382.08320000000003,0.10239999999998872,642.2742600000001,25.343130430157995
382.1856,0.10239999999998872,668.46733,25.85473515625329
382.288,0.10239999999998872,623.19118,24.963797387416843
382.3904,0.10239999999998872,626.1166499999999,25.022323033643378
382.4928,0.10239999999998872,643.52395,25.367773847935496
382.59520000000003,0.10240000000004557,655.70631,25.60676297387079
382.6976,0.10239999999998872,635.52723,25.209665408330988
382.8,0.10239999999998872,641.13459,25.320635655528083
382.9024,0.10239999999998872,644.3201,25.383461150914783
383.00480000000005,0.10240000000004557,637.3935,25.246653243548938
383.10720000000003,0.10239999999998872,649.3368,25.48208782654985
383.2096,0.10239999999998872,654.4734,25.582677733185008
383.312,0.10239999999998872,642.81044,25.35370663236443
383.4144,0.10239999999998872,633.9407699999999,25.178180434654127
383.5168,0.10239999999998872,598.41658,24.462554649913404
383.61920000000003,0.10240000000004557,648.83136,25.47216834115227
383.7216,0.10239999999998872,616.6192599999999,24.83181950643166
383.824,0.10239999999998872,631.59928,25.131639023350626
383.9264,0.10239999999998872,660.71712,25.70441829724999
384.02880000000005,0.10240000000004557,614.15605,24.78217201941751
384.13120000000004,0.10239999999998872,646.1772100000001,25.42001593233175
384.2336,0.10239999999998872,592.23111,24.33579893901164
384.336,0.10239999999998872,639.83303,25.294921031701207
384.4384,0.10239999999998872,614.3196,24.785471550890453
384.5408,0.10239999999998872,603.7927999999999,24.572195669089076
384.64320000000004,0.10240000000004557,664.93181,25.78627173516947
384.7456,0.10239999999998872,619.7761499999999,24.895303774005246
384.848,0.10239999999998872,620.08247,24.901455178362568
384.9504,0.10239999999998872,614.7996400000001,24.795153558709817
385.05280000000005,0.10240000000004557,631.22479,25.12418735004179
385.15520000000004,0.10239999999998872,592.8679199999999,24.348879234987386
385.2576,0.10239999999998872,589.03662,24.270076637703475
385.36,0.10239999999998872,650.6585,25.50800854633697
385.4624,0.10239999999998872,621.45693,24.929037887571997
385.5648,0.10239999999998872,624.93354,24.99867076466267
385.66720000000004,0.10240000000004557,645.6669899999999,25.409978158196044
385.7696,0.10239999999998872,613.5609099999999,24.770161686997522
385.872,0.10239999999998872,620.79287,24.91571532186062
385.9744,0.10239999999998872,615.58069,24.810898613311046
386.07680000000005,0.10240000000004557,627.25332,25.045025853450422
386.17920000000004,0.10239999999998872,646.21025,25.420665805599977
386.2816,0.10239999999998872,614.2301500000001,24.783667000668004
386.384,0.10239999999998872,633.16132,25.162696993764403
386.4864,0.10239999999998872,600.40236,24.503109190468056
386.5888,0.10239999999998872,630.3239599999999,25.10625340428157
386.69120000000004,0.10240000000004557,632.7911799999999,25.15534098357643
386.7936,0.10239999999998872,593.3312599999999,24.358391983051753
386.896,0.10239999999998872,646.08078,25.41811912789772
386.9984,0.10239999999998872,588.8672,24.266586080452274
387.1008,0.10239999999998872,601.6415199999999,24.528381927881014
387.20320000000004,0.10240000000004557,628.02029,25.060332998585633
387.3056,0.10239999999998872,571.2606,23.901058553963672
387.408,0.10239999999998872,632.89395,25.157383607998668
387.5104,0.10239999999998872,613.24425,24.763768897322556
387.6128,0.10239999999998872,638.18876,25.262398144277594
387.71520000000004,0.10240000000004557,657.6549,25.644783095202815
387.8176,0.10239999999998872,601.89137,24.53347447876065
387.92,0.10239999999998872,630.6746,25.11323555418537
388.0224,0.10239999999998872,592.72903,24.346026985937563
388.1248,0.10239999999998872,624.67939,24.99358697746284
388.22720000000004,0.10240000000004557,648.17271,25.459236241490043
388.3296,0.10239999999998872,612.6096600000001,24.75095270893628
388.432,0.10239999999998872,619.2336700000001,24.884406161289043
388.5344,0.10239999999998872,580.33592,24.090162307464844
388.6368,0.10239999999998872,621.7873099999999,24.935663416079386
388.73920000000004,0.10240000000004557,612.56536,24.75005777771034
388.8416,0.10239999999998872,662.6086300000001,25.741185481636233
388.944,0.10239999999998872,613.88194,24.776641015278887
389.0464,0.10239999999998872,666.10433,25.80899707466371
389.1488,0.10239999999998872,581.40147,24.112268039319737
389.25120000000004,0.10240000000004557,586.5939699999999,24.219702103865767
389.35360000000003,0.10239999999998872,633.75366,25.174464443161447
389.456,0.10239999999998872,616.0883200000001,24.821126485314885
389.5584,0.10239999999998872,658.73592,25.665851242458334
389.6608,0.10239999999998872,567.9012700000001,23.830679176221565
389.76320000000004,0.10240000000004557,606.4883,24.626983168873934
389.86560000000003,0.10239999999998872,650.99046,25.514514692621532
389.968,0.10239999999998872,586.3048200000001,24.21373205435296
390.0704,0.10239999999998872,621.91941,24.93831209204023
390.1728,0.10239999999998872,631.8595,25.136815629669563
390.27520000000004,0.10240000000004557,655.83705,25.609315687850778
390.37760000000003,0.10239999999998872,622.70541,24.954066001355372
390.48,0.10239999999998872,623.48446,24.96967080279594
390.5824,0.10239999999998872,632.64253,25.152386169109285
390.6848,0.10239999999998872,631.8535400000001,25.13669707817636
390.78720000000004,0.10240000000004557,632.1147599999999,25.14189253019748
390.88960000000003,0.10239999999998872,632.98798,25.159252373629865
390.992,0.10239999999998872,642.93727,25.35620772118733
391.0944,0.10239999999998872,647.65026,25.44897365317509
391.1968,0.10239999999998872,629.95151,25.098834833513685
391.29920000000004,0.10240000000004557,598.08275,24.455730412318502
391.40160000000003,0.10239999999998872,612.29195,24.74453373979797
391.504,0.10239999999998872,603.47125,24.565651833403486
391.6064,0.10239999999998872,655.0281399999999,25.593517538626845
391.7088,0.10239999999998872,617.49089,24.84936397576405
391.81120000000004,0.10240000000004557,645.57101,25.408089459855102
391.91360000000003,0.10239999999998872,572.4118599999999,23.92513030267547
392.016,0.10239999999998872,641.19707,25.32186940176416
392.1184,0.10239999999998872,601.6277500000001,24.528101231037027
392.2208,0.10239999999998872,647.0728300000001,25.437626265042894
392.32320000000004,0.10240000000004557,572.01009,23.91673242731958
392.42560000000003,0.10239999999998872,642.65965,25.35073273102772
392.528,0.10239999999998872,615.0127,24.79944959066632
392.6304,0.10239999999998872,630.39147,25.107597854036136
392.7328,0.10239999999998872,603.87421,24.57385216037567
392.83520000000004,0.10240000000004557,587.7407499999999,24.2433650717057
392.93760000000003,0.10239999999998872,606.37737,24.62473086147339
